LINE,NAME,DISTRICT,SECTOR,STATION_ID
"N,W",Ditmars Boulevard / Astoria,20,,1
"N,W",Astoria Boulevard,20,,2
"N,W",30 Avenue,20,,3
"N,W",Broadway,20,,4
"N,W",36 Avenue,20,,5
"N,W",39 Avenue,20,,6
"N,R,W",Lexington Avenue / 59 Street,04,,7
"N,R,W",5 Avenue / 59 Street,01,,8
"N,Q,R,W",57 Street,01,,9
"N,Q,R,W",49 Street,01,,10
"N,Q,R,W",42 Street / Times Square,01,,11
"N,Q,R,W",34 Street / Herald Square,02,,12
"N,R",28 Street,04,,13
"N,R",23 Street,04,,14
"N,Q,R,W",14 Street / Union Square,04,,15
"N,R",8 Street / NYU,04,,16
"N,R",Prince Street,04,,17
"R,W",Canal Street,02,,18
"N,Q",Canal Street,02,,19
"R,W",City Hall,02,,20
"R,W",Cortlandt Street,02,,21
"R,W",Rector Street,02,,22
"R,W",Whitehall Street / South Ferry,02,,23
R,Court Street,30,A,24
R,Jay Street / Metrotech,30,A,25
"B,Q,R",Dekalb Avenue,30,A,26
"D,N,R",Pacific Street / Atlantic Avenue / Barclays Center,32,,27
R,Union Street,32,,28
R,4 Avenue / 9 Street,32,,29
R,Prospect Avenue,32,,30
R,25 Street,32,,31
"D,N,R",36 Street,34,,32
"N,R",45 Street,34,,33
"N,R",53 Street,34,,34
"N,R",59 Street,34,,35
R,Bay Ridge Avenue,34,,36
R,77 Street,34,,37
R,86 Street,34,,38
R,95 Street / Bay Ridge,34,,39
"B,Q",Atlantic Avenue / Barclays Center,32,,40
"B,Q",7 Avenue,32,,41
"B,Q,S",Prospect Park,32,,42
Q,Parkside Avenue,32,,43
"B,Q",Church Avenue,32,,44
Q,Beverley Road,32,,45
Q,Cortelyou Road,32,,46
"B,Q",Newkirk Avenue,34,,47
Q,Avenue H,34,,48
Q,Avenue J,34,,49
Q,Avenue M,34,,50
"B,Q",Kings Highway,34,,51
Q,Avenue U,34,,52
Q,Neck Road,34,,53
"B,Q",Sheepshead Bay,34,,54
"B,Q",Brighton Beach,34,,55
Q,Ocean Parkway,34,,56
"Q,F",West 8 Street / NY Aquarium,34,,57
"D,F,N,Q",Stillwell Avenue / Coney Island,34,,58
D,9 Avenue,34,,59
D,Fort Hamilton Parkway,34,,60
D,50 Street,34,,61
D,55 Street,34,,62
D,62 Street,34,,63
D,71 Street,34,,64
D,79 Street,34,,65
D,18 Avenue,34,,66
D,20 Avenue,34,,67
D,Bay Parkway,34,,68
D,25 Avenue,34,,69
D,Bay 50 Street,34,,70
N,8 Avenue,34,,71
N,Fort Hamilton Parkway,34,,72
N,New Utrecht Avenue,34,,73
N,18 Avenue,34,,74
N,20 Avenue,34,,75
N,Bay Parkway,34,,76
N,Kings Highway,34,,77
N,Avenue U,34,,78
N,86 Street,34,,79
"J,Z",121 Street,20,,80
"J,Z",111 Street,20,,81
J,104 Street,20,,82
"J,Z",Woodhaven Boulevard,20,,83
"J,Z",85 Street / Forest Parkway,20,,84
J,75 Street / Elderts Lane,20,,85
J,Cypress Hills,33,,86
"J,Z",Crescent Street,33,,87
"J,Z",Norwood Avenue,33,,88
J,Cleveland Street,33,,89
"J,Z",Van Siclen Avenue,33,,90
J,Alabama Avenue,33,,91
"J,Z",Broadway Junction / Eastern Parkway,33,,92
"J,Z",Chauncey Street,33,,93
J,Halsey Street,33,,94
"J,Z",Gates Avenue,33,,95
J,Kosciusko Street,33,,96
"J,M,Z",Myrtle Avenue,33,,97
"J,M",Flushing Avenue,33,,98
"J,M",Lorimer Street,33,,99
"J,M",Hewes Street,33,,100
"J,M,Z",Marcy Avenue,33,,101
"J,M,Z",Essex Street / Delancey Street,04,,102
"J,Z",Bowery,04,,103
"J,Z",Canal Street,02,,104
"J,Z",Chambers Street,02,,105
"J,Z",Fulton Street,02,,106
"J,Z",Broad Street,02,,107
M,Middle Village / Metropolitan Avenue,33,,108
M,Fresh Pond Road,33,,109
M,Forest Avenue,33,,110
M,Seneca Avenue,33,,111
"L,M",Myrtle / Wyckoff Avenues,33,,112
M,Knickerbocker Avenue,33,,113
M,Central Avenue,33,,114
L,8 Avenue,02,,115
L,6 Avenue,02,,116
L,14 Street / Union Square,04,,117
L,3 Avenue,04,,118
L,1 Avenue,04,,119
L,Bedford Avenue,33,,120
L,Lorimer Street,33,,121
L,Graham Avenue,33,,122
L,Grand Street,33,,123
L,Montrose Avenue,33,,124
L,Morgan Avenue,33,,125
L,Jefferson Street,33,,126
L,Dekalb Avenue,33,,127
L,Myrtle / Wyckoff Avenues,33,,128
L,Halsey Street,33,,129
L,Wilson Avenue,33,,130
L,Bushwick Avenue / Aberdeen Street,33,,131
L,Broadway Junction,33,,132
L,Atlantic Avenue,33,,133
L,Sutter Avenue,33,,134
L,Livonia Avenue,33,,135
L,New Lots Avenue,33,,136
L,East 105 Street,33,,137
L,Canarsie/ Rockaway Parkway,33,,138
S,Franklin Avenue,30,A,139
S,Park Place,32,,141
S,Botanic Garden,32,,142
A,Inwood / 207 Street,03,,143
A,Dyckman Street / 200 Street,03,,144
A,190 Street,03,,145
A,181 Street,03,,146
A,175 Street,03,,147
"A,C",168 Street / Washington Heights,03,,148
"A,C",163 Street / Amsterdam Avenue,03,,148
"A,C",155 Street,03,,150
"A,B,C,D",145 Street,03,,151
"A,B,C",135 Street,03,,152
"A,B,C,D",125 Street,03,,153
"A,B,C",116 Street,03,,154
"A,B,C",110 Street / Cathedral Parkway,03,,155
"A,B,C",103 Street,03,,156
"A,B,C",96 Street,03,,157
"A,B,C",86 Street,01,,158
"A,B,C",81 Street / Museum of Natural History,01,,159
"A,B,C",72 Street,01,,160
"A,B,C,D",59 Street / Columbus Circle,01,,161
"A,C,E",50 Street,01,,162
"A,C,E",42 Street / Port Authority Bus Terminal,01,,163
"A,C,E",34 Street / Penn Station,02,,164
"A,C,E",23 Street,02,,165
"A,C,E",14 Street,02,,166
"A,B,C,D,E,F,M",West 4 Street / Washington Square,02,,167
"A,C,E",Spring Street,02,,168
"A,C,E",Canal Street,02,,169
"A,C",Chambers Street,02,,170
E,World Trade Center,02,,171
"A,C",Fulton Street / Broadway / Nassau Street,02,,172
"A,C",High Street,30,A,173
"A,C,F",Jay Street / Metrotech,30,A,174
"A,C,G",Hoyt / Schermerhorn Streets,30,A,175
"A,C",Lafayette Avenue,30,A,176
"A,C",Clinton / Washington Avenues,30,A,177
"A,C",Franklin Avenue,30,A,178
"A,C",Nostrand Avenue,30,A,179
"A,C",Kingston / Throop Avenues,33,,180
"A,C",Utica Avenue,33,,181
"A,C",Ralph Avenue,33,,182
"A,C",Rockaway Avenue,33,,183
"A,C",Broadway Junction / East New York,33,,184
"A,C",Liberty Avenue,33,,185
"A,C",Van Siclen Avenue,33,,186
"A,C",Shepherd Avenue,33,,187
"A,C,S",Euclid Avenue,33,,188
A,Grant Avenue,33,,189
A,80 Street,23,,190
A,88 Street,23,,191
A,Rockaway Boulevard,23,,192
A,104 Street,23,,193
A,111 Street,23,,194
A,Ozone Park / Lefferts Boulevard,23,,195
A,Aqueduct / Racetrack,23,,196
A,Aqueduct / North Conduit Avenue,23,,197
A,Howard Beach / JFK Airport,23,,198
"A,S",Broad Channel,23,,199
"A,S",Beach 90 Street,23,,200
"A,S",Beach 98 Street,23,,201
"A,S",Beach 105 Street,23,,202
"A,S",Rockaway Park / Beach 116 Street,23,,203
A,Beach 67 Street,23,,204
A,Beach 60 Street,23,,205
A,Beach 44 Street,23,,206
A,Beach 36 Street,23,,207
A,Beach 25 Street,23,,208
A,Far Rockaway / Mott Avenue,23,,209
D,Norwood / 205 Street,11,,210
"B,D",Bedford Park Boulevard,11,,211
"B,D",Kingsbridge Road,11,,212
"B,D",Fordham Road / Grand Concourse,11,,213
"B,D",182-183 Streets,11,,214
"B,D",Tremont Avenue,11,,215
"B,D",174-175 Streets,11,,216
"B,D",170 Street,11,,217
"B,D",167 Street,11,,218
"B,D",161 Street / Yankee Stadium,11,,219
"B,D",155 Street,03,,220
F,21 Street / Queensbridge,20,,221
"J,Z",Roosevelt Island,20,,222
"F,Q",Lexington Avenue / 63 Street,01,,223
F,57 Street / 6 Avenue,01,,224
"B,D,F,M",47-50 Streets / Rockefeller Center,01,,225
"B,D,F,M",42 Street / Bryant Park,01,,226
"B,D,F,M",34 Street / Herald Square,02,,227
"F,M",23 Street,02,,228
"F,M",14 Street,02,,229
"B,D,F,M",Broadway / Lafayette Street,04,,230
"B,D",Grand Street,04,,231
F,2 Avenue,04,,232
F,Delancey Street / Essex Street,04,,233
F,East Broadway,04,,234
F,York Street,30,B,235
"F,G",Bergen Street,30,B,236
"F,G",Carroll Street,30,B,237
"F,G",Smith / 9 Streets,30,B,238
"F,G",4 Avenue / 9 Street,30,B,239
"F,G",7 Avenue,30,B,240
"F,G",15 Street / Prospect Park,30,B,241
"2,3,4",Eastern Parkway / Brooklyn Museum,32,,241
"F,G",Fort Hamilton Parkway,30,B,242
"F,G",Church Avenue,30,B,243
F,Ditmas Avenue,34,,244
F,18 Avenue,34,,245
F,Avenue I,34,,246
F,Bay Parkway,34,,247
F,Avenue N,34,,248
F,Avenue P,34,,249
F,Kings Highway,34,,250
F,Avenue U,34,,251
F,Avenue X,34,,252
F,Neptune Avenue,34,,253
F,179 Street / Jamaica,20,,254
F,169 Street,20,,255
F,Parsons Boulevard,20,,256
F,Sutphin Boulevard,20,,257
"E,F",Van Wyck Boulevard / Briarwood,20,,258
"E,F",Kew Gardens / Union Turnpike,20,,259
"E,F",75 Avenue,20,,260
"E,F,M,R",71 Avenue / Forest Hills,20,,261
"E,M,R",67 Avenue,20,,262
"M,R",63 Drive / Rego Park,20,,263
"M,R",Woodhaven Boulevard,20,,264
"M,R",Grand Avenue / Newton,20,,265
"M,R",Elmhurst Avenue,20,,266
"E,F,M,R",Jackson Heights / Roosevelt Ave,20,,267
"M,R",65 Street,20,,268
"M,R",Northern Boulevard,20,,269
"M,R",46 Street,20,,270
"M,R",Steinway Street,20,,271
"M,R",36 Street,20,,272
"E,M,R",Queens Plaza,20,,273
"E,M",Court Square / 23 Street,20,,274
"E,M",Lexington Avenue / 53 Street,04,,275
"E,M",5 Avenue / 53 Street,01,,276
"B,D,E",7 Avenue,01,,277
"E,J,Z",Parsons / Archer / Jamaica Center,20,,278
"E,J,Z",Sutphin Boulevard / Archer Avenue,20,,279
"E,J,Z",Jamaica / Van Wyck,20,,280
G,Long Island City / Court Square,20,,281
G,21 Street,20,,282
G,Greenpoint Avenue,30,C,283
G,Nassau Avenue,30,C,284
G,Metropolitan Avenue,30,C,285
G,Broadway,30,C,286
G,Flushing Avenue,30,C,287
G,Myrtle / Willoughby Avenues,30,C,288
G,Bedford / Nostrand Avenues,30,C,289
G,Classon Avenue,30,C,290
G,Clinton / Washington Avenues,30,C,291
G,Fulton Street,30,C,292
1,242 Street / Van Cortlandt Park,03,,293
1,238 Street,03,,294
1,231 Street,03,,295
1,Marble Hill / 225 Street,03,,296
1,215 Street,03,,297
1,207 Street,03,,298
1,200 Street / Dyckman Street,03,,299
1,191 Street,03,,300
1,181 Street,03,,301
1,168 Street / Washington Heights,03,,302
1,157 Street,03,,303
1,145 Street,03,,304
1,137 Street / City College,03,,305
1,125 Street,03,,306
1,116 Street / Columbia University,03,,307
1,110 Street / Cathedral Parkway,03,,308
1,103 Street,03,,309
"1,2,3",96 Street,03,,310
1,86 Street,01,,311
1,79 Street,01,,312
"1,2,3",72 Street,01,,313
1,66 Street / Lincoln Center,01,,314
1,59 Street / Columbus Circle,01,,315
1,50 Street,01,,316
"1,2,3",42 Street / Times Square,01,,317
"1,2,3",34 Street / Penn Station,02,,318
1,28 Street,02,,319
1,23 Street,02,,320
1,18 Street,02,,321
"1,2,3",14 Street,02,,322
