X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
989333,219171,"Manhattan","A,B,C,D","59 Street / Columbus Circle","01",161,"A,D-all times, B-weekdays and evenings, C-all times exc nights"
976367,166139,"Brooklyn","R","86 Street","34",38,"R-all times"
988724,216795,"Manhattan","1","50 Street","01",316,"1-all times, 2-nights"
988133,217060,"Manhattan","A,C,E","50 Street","01",162,"A-nights, C-all other times, E-all times"
989320,217248,"Manhattan","B,D,E","7 Avenue","01",277,"D,E-all times, B-weekdays and evenings"
989247,213915,"Manhattan","7","5 Avenue / 42 Street","01",466,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
991977,223944,"Manhattan","A,B,C","81 Street / Museum of Natural History","01",159,"A-nights, B-weekdays and evenings, C-all times exc nights"
987715,214449,"Manhattan","1,2,3","42 Street / Times Square","01",317,"1,2,3-all times"
988065,214702,"Manhattan","S","42 Street / Times Square","01",468,"S to Grand Central-all times exc nights, closed nights-use 7"
988624,216093,"Manhattan","N,Q,R,W","49 Street","01",10,"N-all times, Q-all times exc weekends, R-all times exc nights, W part time"
991633,217919,"Manhattan","N,R,W","5 Avenue / 59 Street","01",8,"N-all times, R-all times exc nights, W part time"
989812,224886,"Manhattan","1","79 Street","01",312,"1-all times, 2-nights"
989178,221062,"Manhattan","1","66 Street / Lincoln Center","01",314,"1-all times, 2-nights"
983641,214506,"Manhattan","7","34 Street / Hudson Yards","01",471,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
984793,211030,"Manhattan","A,C,E","23 Street","02",165,"A-nights, C-all other times, E-all times"
984165,206057,"Manhattan","A,B,C,D,E,F,M","West 4 Street / Washington Square","02",167,"B,M-weekdays and evenings, D,F-all times"
982801,201892,"Manhattan","A,C,E","Canal Street","02",169,"A,E-all times, C-all times exc nights"
981549,198883,"Manhattan","E","World Trade Center","02",171,"E-all times"
986728,212658,"Manhattan","1,2,3","34 Street / Penn Station","02",318,"1,2,3-all times"
985453,210365,"Manhattan","1","23 Street","02",320,"1-all times, 2-nights"
984194,208087,"Manhattan","1,2,3","14 Street","02",322,"1,2-all times, 3-all times exc nights"
982762,204598,"Manhattan","1","Houston Street","02",324,"1-all times, 2-nights"
982341,201344,"Manhattan","1","Franklin Street","02",326,"1-all times, 2-nights"
980429,197043,"Manhattan","1","Rector Street","02",329,"1-all times"
