Borough,Line,Station,District,STATION_ID
Manhattan,"A,B,C,D",59 Street / Columbus Circle,01,161
Manhattan,1,59 Street / Columbus Circle,01,315
Manhattan,1,50 Street,01,316
Manhattan,"A,C,E",50 Street,01,162
Manhattan,"B,D,E",7 Avenue,01,277
Manhattan,"E,M",5 Avenue / 53 Street,01,276
Manhattan,"A,C,E",42 Street / Port Authority Bus Terminal,01,163
Manhattan,F,57 Street / 6 Avenue,01,224
Manhattan,"B,D,F,M",47-50 Streets / Rockefeller Center,01,225
Manhattan,"B,D,F,M",42 Street / Bryant Park,01,226
Manhattan,7,5 Avenue / 42 Street,01,466
Manhattan,"A,B,C",86 Street,01,158
Manhattan,"A,B,C",81 Street / Museum of Natural History,01,159
Manhattan,"A,B,C",72 Street,01,160
Manhattan,"1,2,3",42 Street / Times Square,01,317
Manhattan,7,42 Street / Times Square,01,467
Manhattan,S,42 Street / Times Square,01,468
Manhattan,"N,Q,R,W",42 Street / Times Square,01,11
Manhattan,"N,Q,R,W",49 Street,01,10
Manhattan,"N,Q,R,W",57 Street,01,9
Manhattan,"N,R,W",5 Avenue / 59 Street,01,8
Manhattan,1,86 Street,01,311
Manhattan,1,79 Street,01,312
Manhattan,"1,2,3",72 Street,01,313
Manhattan,1,66 Street / Lincoln Center,01,314
Manhattan,"F,Q",Lexington Avenue / 63 Street,01,223
Manhattan,7,34 Street / Hudson Yards,01,471
Manhattan,"A,C,E",34 Street / Penn Station,02,164
Manhattan,"A,C,E",23 Street,02,165
Manhattan,"A,C,E",14 Street,02,166
Manhattan,"A,B,C,D,E,F,M",West 4 Street / Washington Square,02,167
Manhattan,"A,C,E",Spring Street,02,168
Manhattan,"A,C,E",Canal Street,02,169
Manhattan,"A,C",Chambers Street,02,170
Manhattan,E,World Trade Center,02,171
Manhattan,"A,C",Fulton Street / Broadway / Nassau Street,02,172
Manhattan,"1,2,3",34 Street / Penn Station,02,318
Manhattan,1,28 Street,02,319
Manhattan,1,23 Street,02,320
Manhattan,1,18 Street,02,321
Manhattan,"1,2,3",14 Street,02,322
Manhattan,1,Christopher Street / Sheridan Square,02,323
Manhattan,1,Houston Street,02,324
Manhattan,1,Canal Street,02,325
Manhattan,1,Franklin Street,02,326
Manhattan,1,Cortlandt Street,02,328
Manhattan,1,Rector Street,02,329
Manhattan,1,South Ferry,02,330
Manhattan,"1,2,3",Chambers Street,02,327
Manhattan,"2,3",Park Place,02,331
Manhattan,"2,3",Fulton Street,02,332
Manhattan,"2,3",Wall Street,02,333
Manhattan,"4,5",Fulton Street,02,412
Manhattan,"4,5",Wall Street,02,413
Manhattan,"4,5",Bowling Green,02,414
Manhattan,"J,Z",Fulton Street,02,106
Manhattan,"J,Z",Broad Street,02,107
Manhattan,"B,D,F,M",34 Street / Herald Square,02,227
Manhattan,"N,Q,R,W",34 Street / Herald Square,02,12
Manhattan,"F,M",23 Street,02,228
Manhattan,"F,M",14 Street,02,229
Manhattan,L,8 Avenue,02,115
Manhattan,L,6 Avenue,02,116
Manhattan,6,Canal Street,02,410
Manhattan,"J,Z",Canal Street,02,104
Manhattan,"N,Q",Canal Street,02,19
Manhattan,"R,W",Canal Street,02,18
Manhattan,"R,W",City Hall,02,20
Manhattan,"R,W",Cortlandt Street,02,21
Manhattan,"R,W",Rector Street,02,22
Manhattan,"R,W",Whitehall Street / South Ferry,02,23
Manhattan,"J,Z",Chambers Street,02,105
Manhattan,"4,5,6",Brooklyn Bridge / City Hall,02,411
Bronx,1,242 Street / Van Cortlandt Park,03,293
Bronx,1,238 Street,03,294
Bronx,1,231 Street,03,295
Bronx,1,Marble Hill / 225 Street,03,296
Manhattan,1,215 Street,03,297
Manhattan,1,207 Street,03,298
Manhattan,1,200 Street / Dyckman Street,03,299
Manhattan,1,191 Street,03,300
Manhattan,1,181 Street,03,301
Manhattan,1,168 Street / Washington Heights,03,302
Manhattan,"A,C",168 Street / Washington Heights,03,148
Manhattan,1,157 Street,03,303
Manhattan,1,145 Street,03,304
Manhattan,1,137 Street / City College,03,305
Manhattan,1,125 Street,03,306
Manhattan,1,116 Street / Columbia University,03,307
Manhattan,1,110 Street / Cathedral Parkway,03,308
Manhattan,1,103 Street,03,309
Manhattan,"1,2,3",96 Street,03,310
Manhattan,3,148 Street / Harlem,03,436
Manhattan,3,145 Street,03,437
Manhattan,"2,3",135 Street,03,438
Manhattan,"2,3",125 Street,03,439
Manhattan,"2,3",116 Street,03,440
Manhattan,"2,3",110 Street / Central Park North,03,441
Manhattan,A,Inwood / 207 Street,03,143
Manhattan,A,Dyckman Street / 200 Street,03,144
Manhattan,A,190 Street,03,145
Manhattan,A,181 Street,03,146
Manhattan,A,175 Street,03,147
Manhattan,"A,C",163 Street / Amsterdam Avenue,03,148
Manhattan,"A,C",155 Street,03,150
Manhattan,"A,B,C,D",145 Street,03,151
