SUBWYST_ID,STATION_ID,NYCT_ID,LINE,DIVISION,STAT_LABEL,DISP_X,DISP_Y,DISP_NAME,DISP_LINE,DISP_NOTE,X,Y
427,1,1366,ASTORIA LINE,BMT,BMT-N-WP-ASTORIA-DITMARS BL,1008614,221655,Astoria - Ditmars Blvd,N-W,"N-all times, W part time",1008617.187,221659.1964
426,2,1365,ASTORIA LINE,BMT,BMT-N-WP-ASTORIA BLVD,1006937,219833,Astoria Blvd,N-W,"N-all times, W part time",1006935.003,219834.4248
24,3,1364,ASTORIA LINE,BMT,BMT-N-WP-30 AVE,1006001,218645,30th Ave,N-W,"N-all times, W part time",1006010.827,218663.6808
23,4,1363,ASTORIA LINE,BMT,BMT-N-WP-BROADWAY,1004799,216696,Broadway,N-W,"N-all times, W part time",1004800.227,216694.9852
291,5,1362,ASTORIA LINE,BMT,BMT-N-WP-36 AVE,1003681,214877,36th Ave,N-W,"N-all times, W part time",1003680.89,214876.3384
290,6,1361,ASTORIA LINE,BMT,BMT-N-WP-39 AVE,1002854,213536,39th Ave,N-W,"N-all times, W part time",1002840.643,213514.3634
104,7,1367,ASTORIA LINE,BMT,BMT-N-RP-WP-LEX AV-59 ST,993288,217154,Lexington Ave - 59th St,N-R-W,"N-all times, R-all times exc nights, W part time",993290.2396,217150.5726
103,8,1368,ASTORIA LINE,BMT,BMT-N-RP-WP-5 AV-59 STREET,991633,217919,5th Ave - 59th St,N-R-W,"N-all times, R-all times exc nights, W part time",991632.681,217922.5426
102,9,1369,BROADWAY LINE,BMT,BMT-N-Q-RP-WP-57 STREET,989588,217829,57th St,N-Q-R-W,"N,Q-all times, R-all times exc nights, W part time",989587.6716,217828.8312
101,10,1370,BROADWAY LINE,BMT,BMT-N-QL-RP-WP-49 ST,988624,216093,49th St,N-Q-R-W,"N-all times, Q-all times exc weekends, R-all times exc nights, W part time",988622.0332,216085.6436
276,11,1371,BROADWAY LINE,BMT,BMT-N-Q-RP-WP-TIMES SQ,987916,214202,Times Sq - 42nd St,N-Q-R-W,"N,Q-all times, R-all times exc nights, W part time",987914.9082,214203.364
267,12,1372,BROADWAY LINE,BMT,BMT-N-Q-RP-WP-34 ST-HERALD SQ,987592,212393,Herald Sq - 34th St,N-Q-R-W,"N,Q-all times, R-all times exc nights",987585.1428,212374.7816
266,13,1373,BROADWAY LINE,BMT,BMT-NP-QL-RP-WP-28 ST,987382,210866,28th St,N-Q-R-W,"N-all times, R-all times exc nights, part time",987381.587,210865.6248
129,14,1374,BROADWAY LINE,BMT,BMT-NP-QL-RP-WP-23 STREET,987203,209353,23rd St,N-Q-R-W,"N-all times, Q-nights, R-all times exc nights",987195.2436,209344.19
128,15,1375,BROADWAY LINE,BMT,BMT-N-Q-RP-WP-14 ST-UNION SQUARE,986872,207375,Union Sq - 14th St,N-Q-R-W,"N,Q-all times, R-all times exc nights",986864.4282,207369.5318
154,16,1376,BROADWAY LINE,BMT,BMT-NP-QL-RP-WP-8 ST-NYU,986326,205405,8th St - NYU,N-Q-R-W,"N-all times, Q-nights, R-all times exc nights",986325.0326,205405.3056
153,17,1377,BROADWAY LINE,BMT,BMT-NP-QL-RP-WP-PRINCE ST,984887,203169,Prince St,N-Q-R-W,"N-all times, Q-nights, R-all times exc nights",984884.6922,203167.0952
171,18,1378,BROADWAY LINE,BMT,BMT-NL-RP-WP-CANAL ST,983744,201397,Canal St,R-W,"N-nights, R-all other times",983743.7306,201397.147
191,19,1385,LEXINGTON AVE,BMT,BMT-N-Q-CANAL ST,983958,201160,Canal St,N-Q,"N-all times, Q-weekdays and evenings",984103.6208,201021.5982
170,20,1379,BROADWAY LINE,BMT,BMT-NL-RP-WP-CITY HALL,982313,199141,City Hall,R-W,"N-nights, R-all other times",982297.6634,199141.1396
183,21,1380,BROADWAY LINE,BMT,BMT-NL-RP-WP-CORTLANDT ST,981164,198136,Cortlandt St,R-W,"N-nights, R-all other times",981160.2892,198130.0684
176,22,1381,BROADWAY LINE,BMT,BMT-NL-RP-WP-RECTOR ST,980653,197127,Rector St,R-W,"N-nights, R-all other times",980654.352,197132.374
